Starting training at: Thu Apr 16 11:33:45 PM EDT 2026
Train: 27112, Valid: 1427
--- Starting Trainer ---
{'loss': '9.424', 'grad_norm': '10.57', 'learning_rate': '4.8e-07', 'epoch': '0.003688'}
{'loss': '9.149', 'grad_norm': '12.44', 'learning_rate': '9.7e-07', 'epoch': '0.007377'}
{'loss': '8.254', 'grad_norm': '18.43', 'learning_rate': '1.47e-06', 'epoch': '0.01107'}
{'loss': '6.848', 'grad_norm': '36.09', 'learning_rate': '1.97e-06', 'epoch': '0.01475'}
{'loss': '4.843', 'grad_norm': '26.64', 'learning_rate': '2.47e-06', 'epoch': '0.01844'}
{'loss': '3.386', 'grad_norm': '4.977', 'learning_rate': '2.97e-06', 'epoch': '0.02213'}
{'loss': '3.077', 'grad_norm': '2.106', 'learning_rate': '3.47e-06', 'epoch': '0.02582'}
{'loss': '3.027', 'grad_norm': '1.704', 'learning_rate': '3.97e-06', 'epoch': '0.02951'}
{'loss': '3.018', 'grad_norm': '14.5', 'learning_rate': '4.47e-06', 'epoch': '0.0332'}
{'loss': '2.961', 'grad_norm': '1.634', 'learning_rate': '4.97e-06', 'epoch': '0.03688'}
{'eval_loss': '3.236', 'eval_wer': '1', 'eval_runtime': '23.9', 'eval_samples_per_second': '59.71', 'eval_steps_per_second': '7.49', 'epoch': '0.03688'}
{'loss': '2.954', 'grad_norm': '1.203', 'learning_rate': '5.47e-06', 'epoch': '0.04057'}
{'loss': '2.955', 'grad_norm': '1.233', 'learning_rate': '5.97e-06', 'epoch': '0.04426'}
{'loss': '2.931', 'grad_norm': '4.816', 'learning_rate': '6.47e-06', 'epoch': '0.04795'}
{'loss': '2.947', 'grad_norm': '24.3', 'learning_rate': '6.97e-06', 'epoch': '0.05164'}
{'loss': '2.936', 'grad_norm': '11.57', 'learning_rate': '7.47e-06', 'epoch': '0.05533'}
{'loss': '2.909', 'grad_norm': '1.828', 'learning_rate': '7.97e-06', 'epoch': '0.05901'}
