Starting training at: Fri Apr 17 12:21:15 AM EDT 2026
Train: 27112, Valid: 1427
--- Starting Trainer ---
{'loss': '9.273', 'grad_norm': '10.98', 'learning_rate': '4.8e-07', 'epoch': '0.003688'}
{'loss': '9.041', 'grad_norm': '12.76', 'learning_rate': '9.7e-07', 'epoch': '0.007377'}
{'loss': '8.257', 'grad_norm': '17.99', 'learning_rate': '1.47e-06', 'epoch': '0.01107'}
{'loss': '7', 'grad_norm': '34.83', 'learning_rate': '1.96e-06', 'epoch': '0.01475'}
{'loss': '5.29', 'grad_norm': '60.19', 'learning_rate': '2.46e-06', 'epoch': '0.01844'}
{'loss': '3.976', 'grad_norm': '11.07', 'learning_rate': '2.96e-06', 'epoch': '0.02213'}
{'loss': '3.356', 'grad_norm': '4.288', 'learning_rate': '3.46e-06', 'epoch': '0.02582'}
{'loss': '3.141', 'grad_norm': '1.899', 'learning_rate': '3.96e-06', 'epoch': '0.02951'}
{'loss': '3.073', 'grad_norm': '15.25', 'learning_rate': '4.46e-06', 'epoch': '0.0332'}
{'loss': '2.994', 'grad_norm': '1.634', 'learning_rate': '4.96e-06', 'epoch': '0.03688'}
{'eval_loss': '3.258', 'eval_wer': '1', 'eval_runtime': '23.68', 'eval_samples_per_second': '60.27', 'eval_steps_per_second': '7.56', 'epoch': '0.03688'}
{'loss': '2.975', 'grad_norm': '0.9588', 'learning_rate': '5.46e-06', 'epoch': '0.04057'}
{'loss': '2.968', 'grad_norm': '1.404', 'learning_rate': '5.96e-06', 'epoch': '0.04426'}
{'loss': '2.941', 'grad_norm': '6.281', 'learning_rate': '6.46e-06', 'epoch': '0.04795'}
{'loss': '2.956', 'grad_norm': '25.35', 'learning_rate': '6.96e-06', 'epoch': '0.05164'}
{'loss': '2.934', 'grad_norm': '9.41', 'learning_rate': '7.46e-06', 'epoch': '0.05533'}
{'loss': '2.912', 'grad_norm': '2.586', 'learning_rate': '7.96e-06', 'epoch': '0.05901'}
{'loss': '2.907', 'grad_norm': '8.199', 'learning_rate': '8.46e-06', 'epoch': '0.0627'}
{'loss': '2.893', 'grad_norm': '7.64', 'learning_rate': '8.96e-06', 'epoch': '0.06639'}
{'loss': '2.914', 'grad_norm': '3.949', 'learning_rate': '9.46e-06', 'epoch': '0.07008'}
{'loss': '2.886', 'grad_norm': '1.498', 'learning_rate': '9.96e-06', 'epoch': '0.07377'}
{'eval_loss': '2.994', 'eval_wer': '1', 'eval_runtime': '23.51', 'eval_samples_per_second': '60.71', 'eval_steps_per_second': '7.615', 'epoch': '0.07377'}
{'loss': '2.872', 'grad_norm': '1.362', 'learning_rate': '9.983e-06', 'epoch': '0.07746'}
{'loss': '2.882', 'grad_norm': '1.066', 'learning_rate': '9.964e-06', 'epoch': '0.08114'}
{'loss': '2.871', 'grad_norm': '1.607', 'learning_rate': '9.946e-06', 'epoch': '0.08483'}
{'loss': '2.882', 'grad_norm': '1.253', 'learning_rate': '9.927e-06', 'epoch': '0.08852'}
{'loss': '2.878', 'grad_norm': '6.425', 'learning_rate': '9.909e-06', 'epoch': '0.09221'}
{'loss': '2.865', 'grad_norm': '1.898', 'learning_rate': '9.89e-06', 'epoch': '0.0959'}
{'loss': '2.875', 'grad_norm': '1.126', 'learning_rate': '9.872e-06', 'epoch': '0.09959'}
{'loss': '2.869', 'grad_norm': '4.233', 'learning_rate': '9.853e-06', 'epoch': '0.1033'}
{'loss': '2.867', 'grad_norm': '2.52', 'learning_rate': '9.835e-06', 'epoch': '0.107'}
{'loss': '2.857', 'grad_norm': '1.341', 'learning_rate': '9.816e-06', 'epoch': '0.1107'}
{'eval_loss': '2.954', 'eval_wer': '1', 'eval_runtime': '23.5', 'eval_samples_per_second': '60.72', 'eval_steps_per_second': '7.616', 'epoch': '0.1107'}
{'loss': '2.863', 'grad_norm': '1.344', 'learning_rate': '9.798e-06', 'epoch': '0.1143'}
{'loss': '2.865', 'grad_norm': '1.425', 'learning_rate': '9.779e-06', 'epoch': '0.118'}
{'loss': '2.857', 'grad_norm': '1.89', 'learning_rate': '9.761e-06', 'epoch': '0.1217'}
{'loss': '2.861', 'grad_norm': '1.752', 'learning_rate': '9.742e-06', 'epoch': '0.1254'}
{'loss': '2.862', 'grad_norm': '1.601', 'learning_rate': '9.724e-06', 'epoch': '0.1291'}
{'loss': '2.851', 'grad_norm': '1.107', 'learning_rate': '9.705e-06', 'epoch': '0.1328'}
{'loss': '2.855', 'grad_norm': '1.545', 'learning_rate': '9.687e-06', 'epoch': '0.1365'}
{'loss': '2.862', 'grad_norm': '2.331', 'learning_rate': '9.668e-06', 'epoch': '0.1402'}
{'loss': '2.833', 'grad_norm': '1.564', 'learning_rate': '9.65e-06', 'epoch': '0.1438'}
{'loss': '2.803', 'grad_norm': '1.914', 'learning_rate': '9.631e-06', 'epoch': '0.1475'}
{'eval_loss': '2.886', 'eval_wer': '1', 'eval_runtime': '23.38', 'eval_samples_per_second': '61.04', 'eval_steps_per_second': '7.657', 'epoch': '0.1475'}
{'loss': '2.741', 'grad_norm': '4.032', 'learning_rate': '9.613e-06', 'epoch': '0.1512'}
{'loss': '2.629', 'grad_norm': '3.657', 'learning_rate': '9.594e-06', 'epoch': '0.1549'}
{'loss': '2.464', 'grad_norm': '3.155', 'learning_rate': '9.576e-06', 'epoch': '0.1586'}
{'loss': '2.242', 'grad_norm': '2.974', 'learning_rate': '9.557e-06', 'epoch': '0.1623'}
{'loss': '2.026', 'grad_norm': '8.022', 'learning_rate': '9.539e-06', 'epoch': '0.166'}
{'loss': '1.82', 'grad_norm': '4.924', 'learning_rate': '9.52e-06', 'epoch': '0.1697'}
{'loss': '1.643', 'grad_norm': '5.318', 'learning_rate': '9.501e-06', 'epoch': '0.1734'}
{'loss': '1.519', 'grad_norm': '12.81', 'learning_rate': '9.483e-06', 'epoch': '0.177'}
{'loss': '1.413', 'grad_norm': '8.878', 'learning_rate': '9.464e-06', 'epoch': '0.1807'}
{'loss': '1.313', 'grad_norm': '4.553', 'learning_rate': '9.446e-06', 'epoch': '0.1844'}
{'eval_loss': '1.215', 'eval_wer': '0.7082', 'eval_runtime': '24.41', 'eval_samples_per_second': '58.45', 'eval_steps_per_second': '7.332', 'epoch': '0.1844'}
{'loss': '1.224', 'grad_norm': '7.049', 'learning_rate': '9.427e-06', 'epoch': '0.1881'}
{'loss': '1.146', 'grad_norm': '10.35', 'learning_rate': '9.409e-06', 'epoch': '0.1918'}
{'loss': '1.066', 'grad_norm': '6.677', 'learning_rate': '9.39e-06', 'epoch': '0.1955'}
{'loss': '1.002', 'grad_norm': '4.629', 'learning_rate': '9.372e-06', 'epoch': '0.1992'}
{'loss': '0.9648', 'grad_norm': '10.27', 'learning_rate': '9.353e-06', 'epoch': '0.2029'}
{'loss': '0.903', 'grad_norm': '7.579', 'learning_rate': '9.335e-06', 'epoch': '0.2066'}
{'loss': '0.8913', 'grad_norm': '6.938', 'learning_rate': '9.316e-06', 'epoch': '0.2102'}
{'loss': '0.8575', 'grad_norm': '9.741', 'learning_rate': '9.298e-06', 'epoch': '0.2139'}
{'loss': '0.8323', 'grad_norm': '6.963', 'learning_rate': '9.279e-06', 'epoch': '0.2176'}
{'loss': '0.7833', 'grad_norm': '5.598', 'learning_rate': '9.261e-06', 'epoch': '0.2213'}
{'eval_loss': '0.7273', 'eval_wer': '0.4837', 'eval_runtime': '23.53', 'eval_samples_per_second': '60.65', 'eval_steps_per_second': '7.608', 'epoch': '0.2213'}
{'loss': '0.7561', 'grad_norm': '5.128', 'learning_rate': '9.242e-06', 'epoch': '0.225'}
{'loss': '0.7441', 'grad_norm': '20.01', 'learning_rate': '9.224e-06', 'epoch': '0.2287'}
{'loss': '0.7276', 'grad_norm': '3.553', 'learning_rate': '9.205e-06', 'epoch': '0.2324'}
{'loss': '0.6959', 'grad_norm': '4.69', 'learning_rate': '9.187e-06', 'epoch': '0.2361'}
{'loss': '0.6928', 'grad_norm': '5.209', 'learning_rate': '9.168e-06', 'epoch': '0.2397'}
{'loss': '0.6563', 'grad_norm': '5.195', 'learning_rate': '9.15e-06', 'epoch': '0.2434'}
{'loss': '0.6622', 'grad_norm': '9.705', 'learning_rate': '9.131e-06', 'epoch': '0.2471'}
{'loss': '0.6588', 'grad_norm': '8.628', 'learning_rate': '9.113e-06', 'epoch': '0.2508'}
{'loss': '0.649', 'grad_norm': '6.391', 'learning_rate': '9.094e-06', 'epoch': '0.2545'}
{'loss': '0.601', 'grad_norm': '2.729', 'learning_rate': '9.076e-06', 'epoch': '0.2582'}
{'eval_loss': '0.5731', 'eval_wer': '0.3984', 'eval_runtime': '23.7', 'eval_samples_per_second': '60.22', 'eval_steps_per_second': '7.554', 'epoch': '0.2582'}
{'loss': '0.6194', 'grad_norm': '7.569', 'learning_rate': '9.057e-06', 'epoch': '0.2619'}
{'loss': '0.6234', 'grad_norm': '20.23', 'learning_rate': '9.039e-06', 'epoch': '0.2656'}
{'loss': '0.578', 'grad_norm': '6.801', 'learning_rate': '9.02e-06', 'epoch': '0.2693'}
