Starting training at: Thu Apr 16 10:43:15 PM EDT 2026
Train: 27112, Valid: 1427
--- Starting Trainer ---
{'loss': '9.387', 'grad_norm': '10.72', 'learning_rate': '4.8e-07', 'epoch': '0.003688'}
{'loss': '9.152', 'grad_norm': '14.07', 'learning_rate': '9.7e-07', 'epoch': '0.007377'}
{'loss': '8.313', 'grad_norm': '19.67', 'learning_rate': '1.47e-06', 'epoch': '0.01107'}
{'loss': '6.804', 'grad_norm': '34.46', 'learning_rate': '1.97e-06', 'epoch': '0.01475'}
{'loss': '5.031', 'grad_norm': '36.33', 'learning_rate': '2.46e-06', 'epoch': '0.01844'}
{'loss': '3.722', 'grad_norm': '7.493', 'learning_rate': '2.96e-06', 'epoch': '0.02213'}
{'loss': '3.222', 'grad_norm': '2.978', 'learning_rate': '3.46e-06', 'epoch': '0.02582'}
{'loss': '3.11', 'grad_norm': '1.973', 'learning_rate': '3.96e-06', 'epoch': '0.02951'}
{'loss': '3.067', 'grad_norm': '17.21', 'learning_rate': '4.46e-06', 'epoch': '0.0332'}
{'loss': '2.993', 'grad_norm': '1.509', 'learning_rate': '4.96e-06', 'epoch': '0.03688'}
{'eval_loss': '3.245', 'eval_wer': '1', 'eval_runtime': '29.76', 'eval_samples_per_second': '47.95', 'eval_steps_per_second': '6.015', 'epoch': '0.03688'}
{'loss': '2.976', 'grad_norm': '1.023', 'learning_rate': '5.46e-06', 'epoch': '0.04057'}
{'loss': '2.969', 'grad_norm': '1.457', 'learning_rate': '5.96e-06', 'epoch': '0.04426'}
{'loss': '2.941', 'grad_norm': '4.441', 'learning_rate': '6.46e-06', 'epoch': '0.04795'}
{'loss': '2.952', 'grad_norm': '24.02', 'learning_rate': '6.96e-06', 'epoch': '0.05164'}
{'loss': '2.928', 'grad_norm': '8.749', 'learning_rate': '7.46e-06', 'epoch': '0.05533'}
{'loss': '2.909', 'grad_norm': '2.163', 'learning_rate': '7.96e-06', 'epoch': '0.05901'}
{'loss': '2.907', 'grad_norm': '7.388', 'learning_rate': '8.46e-06', 'epoch': '0.0627'}
{'loss': '2.894', 'grad_norm': '6.64', 'learning_rate': '8.96e-06', 'epoch': '0.06639'}
{'loss': '2.912', 'grad_norm': '3.226', 'learning_rate': '9.46e-06', 'epoch': '0.07008'}
{'loss': '2.888', 'grad_norm': '1.311', 'learning_rate': '9.96e-06', 'epoch': '0.07377'}
{'eval_loss': '3', 'eval_wer': '1', 'eval_runtime': '29.22', 'eval_samples_per_second': '48.84', 'eval_steps_per_second': '6.126', 'epoch': '0.07377'}
{'loss': '2.873', 'grad_norm': '1.364', 'learning_rate': '9.983e-06', 'epoch': '0.07746'}
{'loss': '2.886', 'grad_norm': '2.415', 'learning_rate': '9.964e-06', 'epoch': '0.08114'}
{'loss': '2.875', 'grad_norm': '2.103', 'learning_rate': '9.946e-06', 'epoch': '0.08483'}
{'loss': '2.882', 'grad_norm': '1.334', 'learning_rate': '9.927e-06', 'epoch': '0.08852'}
{'loss': '2.88', 'grad_norm': '6.96', 'learning_rate': '9.909e-06', 'epoch': '0.09221'}
{'loss': '2.865', 'grad_norm': '1.913', 'learning_rate': '9.89e-06', 'epoch': '0.0959'}
{'loss': '2.875', 'grad_norm': '1.165', 'learning_rate': '9.872e-06', 'epoch': '0.09959'}
{'loss': '2.868', 'grad_norm': '2.929', 'learning_rate': '9.853e-06', 'epoch': '0.1033'}
{'loss': '2.869', 'grad_norm': '2.943', 'learning_rate': '9.835e-06', 'epoch': '0.107'}
{'loss': '2.857', 'grad_norm': '1.118', 'learning_rate': '9.816e-06', 'epoch': '0.1107'}
{'eval_loss': '2.961', 'eval_wer': '1', 'eval_runtime': '30.22', 'eval_samples_per_second': '47.22', 'eval_steps_per_second': '5.923', 'epoch': '0.1107'}
{'loss': '2.865', 'grad_norm': '1.595', 'learning_rate': '9.798e-06', 'epoch': '0.1143'}
{'loss': '2.867', 'grad_norm': '1.572', 'learning_rate': '9.779e-06', 'epoch': '0.118'}
{'loss': '2.859', 'grad_norm': '2.125', 'learning_rate': '9.761e-06', 'epoch': '0.1217'}
{'loss': '2.863', 'grad_norm': '1.909', 'learning_rate': '9.742e-06', 'epoch': '0.1254'}
{'loss': '2.865', 'grad_norm': '1.432', 'learning_rate': '9.724e-06', 'epoch': '0.1291'}
{'loss': '2.854', 'grad_norm': '1.218', 'learning_rate': '9.705e-06', 'epoch': '0.1328'}
{'loss': '2.862', 'grad_norm': '1.384', 'learning_rate': '9.687e-06', 'epoch': '0.1365'}
{'loss': '2.874', 'grad_norm': '1.987', 'learning_rate': '9.668e-06', 'epoch': '0.1402'}
{'loss': '2.851', 'grad_norm': '1.393', 'learning_rate': '9.65e-06', 'epoch': '0.1438'}
{'loss': '2.846', 'grad_norm': '0.8693', 'learning_rate': '9.631e-06', 'epoch': '0.1475'}
{'eval_loss': '2.94', 'eval_wer': '1', 'eval_runtime': '29.32', 'eval_samples_per_second': '48.67', 'eval_steps_per_second': '6.105', 'epoch': '0.1475'}
{'loss': '2.858', 'grad_norm': '6.632', 'learning_rate': '9.613e-06', 'epoch': '0.1512'}
{'loss': '2.853', 'grad_norm': '1.683', 'learning_rate': '9.594e-06', 'epoch': '0.1549'}
{'loss': '2.847', 'grad_norm': '2.86', 'learning_rate': '9.576e-06', 'epoch': '0.1586'}
{'loss': '2.848', 'grad_norm': '1.555', 'learning_rate': '9.557e-06', 'epoch': '0.1623'}
{'loss': '2.858', 'grad_norm': '2.136', 'learning_rate': '9.539e-06', 'epoch': '0.166'}
{'loss': '2.846', 'grad_norm': '1.14', 'learning_rate': '9.52e-06', 'epoch': '0.1697'}
{'loss': '2.834', 'grad_norm': '1.379', 'learning_rate': '9.501e-06', 'epoch': '0.1734'}
{'loss': '2.813', 'grad_norm': '2.917', 'learning_rate': '9.483e-06', 'epoch': '0.177'}
{'loss': '2.755', 'grad_norm': '2.876', 'learning_rate': '9.464e-06', 'epoch': '0.1807'}
{'loss': '2.64', 'grad_norm': '2.838', 'learning_rate': '9.446e-06', 'epoch': '0.1844'}
{'eval_loss': '2.624', 'eval_wer': '1', 'eval_runtime': '29.6', 'eval_samples_per_second': '48.21', 'eval_steps_per_second': '6.048', 'epoch': '0.1844'}
