Starting training at: Thu Apr 16 11:01:45 PM EDT 2026
Train: 27112, Valid: 1427
--- Starting Trainer ---
{'loss': '9.265', 'grad_norm': '9.398', 'learning_rate': '4.7e-07', 'epoch': '0.003688'}
{'loss': '9.017', 'grad_norm': '13.01', 'learning_rate': '9.7e-07', 'epoch': '0.007377'}
{'loss': '8.26', 'grad_norm': '17.26', 'learning_rate': '1.47e-06', 'epoch': '0.01107'}
{'loss': '7.038', 'grad_norm': 'inf', 'learning_rate': '1.97e-06', 'epoch': '0.01475'}
{'loss': '5.212', 'grad_norm': '15.92', 'learning_rate': '2.46e-06', 'epoch': '0.01844'}
{'loss': '3.825', 'grad_norm': '9.295', 'learning_rate': '2.96e-06', 'epoch': '0.02213'}
{'loss': '3.257', 'grad_norm': '5.859', 'learning_rate': '3.46e-06', 'epoch': '0.02582'}
{'loss': '3.116', 'grad_norm': '1.617', 'learning_rate': '3.96e-06', 'epoch': '0.02951'}
{'loss': '3.064', 'grad_norm': '14.51', 'learning_rate': '4.46e-06', 'epoch': '0.0332'}
{'loss': '2.993', 'grad_norm': '1.434', 'learning_rate': '4.96e-06', 'epoch': '0.03688'}
{'eval_loss': '3.289', 'eval_wer': '1', 'eval_runtime': '24.86', 'eval_samples_per_second': '57.4', 'eval_steps_per_second': '7.2', 'epoch': '0.03688'}
{'loss': '2.977', 'grad_norm': '0.9282', 'learning_rate': '5.46e-06', 'epoch': '0.04057'}
{'loss': '2.971', 'grad_norm': '1.337', 'learning_rate': '5.96e-06', 'epoch': '0.04426'}
{'loss': '2.945', 'grad_norm': '3.796', 'learning_rate': '6.46e-06', 'epoch': '0.04795'}
{'loss': '2.964', 'grad_norm': '26.62', 'learning_rate': '6.96e-06', 'epoch': '0.05164'}
{'loss': '2.947', 'grad_norm': '12.09', 'learning_rate': '7.46e-06', 'epoch': '0.05533'}
{'loss': '2.92', 'grad_norm': '2.256', 'learning_rate': '7.96e-06', 'epoch': '0.05901'}
{'loss': '2.918', 'grad_norm': '9.34', 'learning_rate': '8.46e-06', 'epoch': '0.0627'}
{'loss': '2.899', 'grad_norm': '7.629', 'learning_rate': '8.96e-06', 'epoch': '0.06639'}
{'loss': '2.917', 'grad_norm': '4.619', 'learning_rate': '9.46e-06', 'epoch': '0.07008'}
{'loss': '2.892', 'grad_norm': '1.177', 'learning_rate': '9.96e-06', 'epoch': '0.07377'}
{'eval_loss': '3.058', 'eval_wer': '1', 'eval_runtime': '24.81', 'eval_samples_per_second': '57.51', 'eval_steps_per_second': '7.214', 'epoch': '0.07377'}
{'loss': '2.875', 'grad_norm': '1.408', 'learning_rate': '9.983e-06', 'epoch': '0.07746'}
{'loss': '2.886', 'grad_norm': '1.836', 'learning_rate': '9.964e-06', 'epoch': '0.08114'}
{'loss': '2.876', 'grad_norm': '2.514', 'learning_rate': '9.946e-06', 'epoch': '0.08483'}
{'loss': '2.882', 'grad_norm': '1.386', 'learning_rate': '9.927e-06', 'epoch': '0.08852'}
{'loss': '2.881', 'grad_norm': '6.715', 'learning_rate': '9.909e-06', 'epoch': '0.09221'}
{'loss': '2.867', 'grad_norm': '2.128', 'learning_rate': '9.89e-06', 'epoch': '0.0959'}
{'loss': '2.876', 'grad_norm': '1.359', 'learning_rate': '9.872e-06', 'epoch': '0.09959'}
{'loss': '2.869', 'grad_norm': '3.083', 'learning_rate': '9.853e-06', 'epoch': '0.1033'}
{'loss': '2.87', 'grad_norm': '2.059', 'learning_rate': '9.835e-06', 'epoch': '0.107'}
{'loss': '2.858', 'grad_norm': '1.114', 'learning_rate': '9.816e-06', 'epoch': '0.1107'}
{'eval_loss': '2.974', 'eval_wer': '1', 'eval_runtime': '24.94', 'eval_samples_per_second': '57.23', 'eval_steps_per_second': '7.178', 'epoch': '0.1107'}
{'loss': '2.865', 'grad_norm': '1.654', 'learning_rate': '9.798e-06', 'epoch': '0.1143'}
{'loss': '2.869', 'grad_norm': '1.353', 'learning_rate': '9.779e-06', 'epoch': '0.118'}
{'loss': '2.858', 'grad_norm': '1.883', 'learning_rate': '9.761e-06', 'epoch': '0.1217'}
{'loss': '2.862', 'grad_norm': '1.786', 'learning_rate': '9.742e-06', 'epoch': '0.1254'}
{'loss': '2.864', 'grad_norm': '1.209', 'learning_rate': '9.724e-06', 'epoch': '0.1291'}
{'loss': '2.854', 'grad_norm': '1.312', 'learning_rate': '9.705e-06', 'epoch': '0.1328'}
{'loss': '2.86', 'grad_norm': '1.474', 'learning_rate': '9.687e-06', 'epoch': '0.1365'}
{'loss': '2.87', 'grad_norm': '1.881', 'learning_rate': '9.668e-06', 'epoch': '0.1402'}
{'loss': '2.845', 'grad_norm': '1.574', 'learning_rate': '9.65e-06', 'epoch': '0.1438'}
{'loss': '2.833', 'grad_norm': '1.106', 'learning_rate': '9.631e-06', 'epoch': '0.1475'}
{'eval_loss': '2.918', 'eval_wer': '1', 'eval_runtime': '25.69', 'eval_samples_per_second': '55.55', 'eval_steps_per_second': '6.968', 'epoch': '0.1475'}
{'loss': '2.815', 'grad_norm': '2.071', 'learning_rate': '9.613e-06', 'epoch': '0.1512'}
{'loss': '2.725', 'grad_norm': '2.599', 'learning_rate': '9.594e-06', 'epoch': '0.1549'}
{'loss': '2.571', 'grad_norm': '2.212', 'learning_rate': '9.576e-06', 'epoch': '0.1586'}
{'loss': '2.373', 'grad_norm': '2.288', 'learning_rate': '9.557e-06', 'epoch': '0.1623'}
{'loss': '2.189', 'grad_norm': '4.754', 'learning_rate': '9.539e-06', 'epoch': '0.166'}
{'loss': '1.996', 'grad_norm': '5.8', 'learning_rate': '9.52e-06', 'epoch': '0.1697'}
{'loss': '1.796', 'grad_norm': '5.48', 'learning_rate': '9.501e-06', 'epoch': '0.1734'}
{'loss': '1.64', 'grad_norm': '5.498', 'learning_rate': '9.483e-06', 'epoch': '0.177'}
{'loss': '1.516', 'grad_norm': '6.519', 'learning_rate': '9.464e-06', 'epoch': '0.1807'}
{'loss': '1.403', 'grad_norm': '5.122', 'learning_rate': '9.446e-06', 'epoch': '0.1844'}
{'eval_loss': '1.265', 'eval_wer': '0.7079', 'eval_runtime': '24.97', 'eval_samples_per_second': '57.14', 'eval_steps_per_second': '7.168', 'epoch': '0.1844'}
{'loss': '1.306', 'grad_norm': '5.862', 'learning_rate': '9.427e-06', 'epoch': '0.1881'}
{'loss': '1.217', 'grad_norm': '10.35', 'learning_rate': '9.409e-06', 'epoch': '0.1918'}
{'loss': '1.133', 'grad_norm': '7.664', 'learning_rate': '9.39e-06', 'epoch': '0.1955'}
{'loss': '1.077', 'grad_norm': '6.909', 'learning_rate': '9.372e-06', 'epoch': '0.1992'}
{'loss': '1.026', 'grad_norm': '5.314', 'learning_rate': '9.353e-06', 'epoch': '0.2029'}
{'loss': '0.9648', 'grad_norm': '4.46', 'learning_rate': '9.335e-06', 'epoch': '0.2066'}
{'loss': '0.9449', 'grad_norm': '10.58', 'learning_rate': '9.316e-06', 'epoch': '0.2102'}
{'loss': '0.9207', 'grad_norm': '9.263', 'learning_rate': '9.298e-06', 'epoch': '0.2139'}
{'loss': '0.8925', 'grad_norm': '6.669', 'learning_rate': '9.279e-06', 'epoch': '0.2176'}
{'loss': '0.8433', 'grad_norm': '9.436', 'learning_rate': '9.261e-06', 'epoch': '0.2213'}
{'eval_loss': '0.7675', 'eval_wer': '0.4966', 'eval_runtime': '25.15', 'eval_samples_per_second': '56.73', 'eval_steps_per_second': '7.116', 'epoch': '0.2213'}
{'loss': '0.8189', 'grad_norm': '5.07', 'learning_rate': '9.242e-06', 'epoch': '0.225'}
{'loss': '0.783', 'grad_norm': '30.57', 'learning_rate': '9.224e-06', 'epoch': '0.2287'}
{'loss': '0.7857', 'grad_norm': '5.758', 'learning_rate': '9.205e-06', 'epoch': '0.2324'}
{'loss': '0.7537', 'grad_norm': '11.33', 'learning_rate': '9.187e-06', 'epoch': '0.2361'}
{'loss': '0.747', 'grad_norm': '6.705', 'learning_rate': '9.168e-06', 'epoch': '0.2397'}
{'loss': '0.7053', 'grad_norm': '4.978', 'learning_rate': '9.15e-06', 'epoch': '0.2434'}
{'loss': '0.7414', 'grad_norm': '9.202', 'learning_rate': '9.131e-06', 'epoch': '0.2471'}
{'loss': '0.7011', 'grad_norm': '10.36', 'learning_rate': '9.113e-06', 'epoch': '0.2508'}
{'loss': '0.6973', 'grad_norm': '9.308', 'learning_rate': '9.094e-06', 'epoch': '0.2545'}
{'loss': '0.6438', 'grad_norm': '4.856', 'learning_rate': '9.076e-06', 'epoch': '0.2582'}
{'eval_loss': '0.6006', 'eval_wer': '0.4078', 'eval_runtime': '25.17', 'eval_samples_per_second': '56.7', 'eval_steps_per_second': '7.112', 'epoch': '0.2582'}
{'loss': '0.6665', 'grad_norm': '6.016', 'learning_rate': '9.057e-06', 'epoch': '0.2619'}
{'loss': '0.6651', 'grad_norm': '22.96', 'learning_rate': '9.039e-06', 'epoch': '0.2656'}
{'loss': '0.6204', 'grad_norm': '8.047', 'learning_rate': '9.02e-06', 'epoch': '0.2693'}
{'loss': '0.6185', 'grad_norm': '6.081', 'learning_rate': '9.001e-06', 'epoch': '0.2729'}
{'loss': '0.6319', 'grad_norm': '8.466', 'learning_rate': '8.983e-06', 'epoch': '0.2766'}
{'loss': '0.6403', 'grad_norm': '9.08', 'learning_rate': '8.964e-06', 'epoch': '0.2803'}
{'loss': '0.5897', 'grad_norm': '8.666', 'learning_rate': '8.946e-06', 'epoch': '0.284'}
{'loss': '0.6013', 'grad_norm': '5.171', 'learning_rate': '8.927e-06', 'epoch': '0.2877'}
{'loss': '0.5656', 'grad_norm': '7.327', 'learning_rate': '8.909e-06', 'epoch': '0.2914'}
{'loss': '0.5831', 'grad_norm': '8.291', 'learning_rate': '8.89e-06', 'epoch': '0.2951'}
{'eval_loss': '0.5111', 'eval_wer': '0.3592', 'eval_runtime': '25.5', 'eval_samples_per_second': '55.97', 'eval_steps_per_second': '7.02', 'epoch': '0.2951'}
{'loss': '0.5573', 'grad_norm': '11.56', 'learning_rate': '8.872e-06', 'epoch': '0.2988'}
{'loss': '0.5815', 'grad_norm': '5.853', 'learning_rate': '8.853e-06', 'epoch': '0.3024'}
{'loss': '0.5481', 'grad_norm': '7.442', 'learning_rate': '8.835e-06', 'epoch': '0.3061'}
